error_count,reference_count,error_mean,reference_mean,mean_difference,error_median,reference_median,median_difference,error_missing_rate,reference_missing_rate,missing_rate_difference,feature,relative_mean_difference
12,107819,5.5,33487.47171648782,-33481.97171648782,0.0,150.0,-150.0,0.0,0.0,0.0,reverse_byte_count,99.9835759473078
12,107819,1.2715657552083333e-06,0.030947540353568895,-0.03094626878781369,1.1920928955078125e-06,3.814697265625e-06,-2.6226043701171875e-06,0.5,0.28978194937812446,0.21021805062187554,iat_min,99.99589122191722
12,107819,1.2715657552083333e-06,0.7604491267243678,-0.7604478551586126,1.1920928955078125e-06,0.0155593554178873,-0.015558163324991792,0.5,0.28978194937812446,0.21021805062187554,iat_mean,99.99983278753166
12,107819,1.2715657552083333e-06,4.032182873490197,-4.032181601924442,1.1920928955078125e-06,0.0310280323028564,-0.031026840209960892,0.5,0.28978194937812446,0.21021805062187554,iat_max,99.99996846458123
12,107819,0.0,1.336704720014138,-1.336704720014138,0.0,0.0001185179372224,-0.0001185179372224,0.5,0.28978194937812446,0.21021805062187554,iat_std,100.0
12,107819,449978914.1333333,7185956.655768101,442792957.4775652,515899392.0,13035.383711895704,515886356.6162881,0.5833333333333334,0.29028278874780883,0.29305054458552454,byte_rate,6161.920794806623
12,107819,165.04166666666666,150.19221985037836,14.849446816288292,71.5,94.0,-22.5,0.0,0.0,0.0,frame_length_mean,9.886961409240323
12,107819,148.54166666666666,134.42509950426884,14.116567162397814,57.5,79.66666666666667,-22.16666666666667,0.0,0.0,0.0,ip_total_length_mean,10.50143701917031
12,107819,20082.166666666668,37826.21443344865,-17744.047766781983,80.0,50207.0,-50127.0,0.0,0.0,0.0,src_port,46.90939347896105
12,107819,30817.666666666668,11349.857622496962,19467.809044169706,48963.0,80.0,48883.0,0.0,0.0,0.0,dst_port,171.52469829737655
12,107819,0.0,0.5371780483959228,-0.5371780483959228,0.0,0.0,0.0,0.0,0.0,0.0,ip_dscp,100.0
