feature,baseline_accuracy,ablation_accuracy,accuracy_drop,baseline_balanced_accuracy,ablation_balanced_accuracy,balanced_accuracy_drop,baseline_precision,ablation_precision,precision_drop,baseline_recall,ablation_recall,recall_drop,baseline_f1,ablation_f1,f1_drop,baseline_auc,ablation_auc,auc_drop
flow_duration,0.994441203239131,0.9944598725817367,-1.8669342605748263e-05,0.9944676956471631,0.9944863055105634,-1.8609863400298465e-05,0.9903189437492429,0.9903467168587695,-2.777310952661871e-05,0.9985719117591793,0.998581307076553,-9.395317373761536e-06,0.9944283047731324,0.9944469654794931,-1.8660706360695833e-05,0.9980127801001223,0.9977954132078533,0.00021736689226903305
psh_count,0.994441203239131,0.9944645399173881,-2.3336678257157573e-05,0.9944676956471631,0.9944915454832921,-2.3849836129019586e-05,0.9903189437492429,0.9902645798397615,5.436390948143632e-05,0.9985719117591793,0.9986752602502913,-0.00010334849111204303,0.9944283047731324,0.9944521368161066,-2.3832042974181178e-05,0.9980127801001223,0.9980199749217395,-7.19482161726237e-06
forward_packet_count,0.994441203239131,0.9944692072530396,-2.8004013908566883e-05,0.9944676956471631,0.9944955200565899,-2.7824409426835395e-05,0.9903189437492429,0.9903743116188488,-5.5367869605915665e-05,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944562181583416,-2.7913385209243913e-05,0.9980127801001223,0.99800922262109,3.5574790322456806e-06
reverse_packet_count,0.994441203239131,0.9944692072530396,-2.8004013908566883e-05,0.9944676956471631,0.994495761085053,-2.806543788991256e-05,0.9903189437492429,0.9903377591427905,-1.8815393547644277e-05,0.9985719117591793,0.9986094930286745,-3.758126949526819e-05,0.9944283047731324,0.9944564256342364,-2.8120861104041772e-05,0.9980127801001223,0.9980306522822306,-1.787218210835828e-05
rst_count,0.994441203239131,0.9944785419243425,-3.7338685211496525e-05,0.9944676956471631,0.9945013602041339,-3.366455697084714e-05,0.9903189437492429,0.9909142638594789,-0.0005953201102359973,0.9985719117591793,0.9980363786688714,0.0005355330903078492,0.9944283047731324,0.9944625696859626,-3.4264912830206384e-05,0.9980127801001223,0.9963810937397682,0.0016316863603540455
byte_rate,0.994441203239131,0.9944785419243425,-3.7338685211496525e-05,0.9944676956471631,0.9945053974308898,-3.770178372675126e-05,0.9903189437492429,0.990301392835515,1.755091372790396e-05,0.9985719117591793,0.9986658649329174,-9.395317373817047e-05,0.9944283047731324,0.9944660407632466,-3.773599011425155e-05,0.9980127801001223,0.9978034629136845,0.0002093171864377963
forward_byte_count,0.994441203239131,0.9944832092599939,-4.2006020862905835e-05,0.9944676956471631,0.9945096732897665,-4.197764260338577e-05,0.9903189437492429,0.9903654423137846,-4.649856454175261e-05,0.9985719117591793,0.9986094930286745,-3.758126949526819e-05,0.9944283047731324,0.9944703823950448,-4.207762191243969e-05,0.9980127801001223,0.9981872515942666,-0.00017447149414429042
iat_min,0.994441203239131,0.9944832092599939,-4.2006020862905835e-05,0.9944676956471631,0.9945099143182294,-4.221867106635191e-05,0.9903189437492429,0.9903288922016211,-9.948452378227834e-06,0.9985719117591793,0.9986470742981698,-7.516253899053638e-05,0.9944283047731324,0.994470589336003,-4.228456287058702e-05,0.9980127801001223,0.9977657996457135,0.0002469804544087406
flow_byte_count,0.994441203239131,0.9944972112669482,-5.600802781724479e-05,0.9944676956471631,0.9945229829233224,-5.52872761593326e-05,0.9903189437492429,0.9904845338726362,-0.00016559012339334434,0.9985719117591793,0.9985155398549364,5.637190424290228e-05,0.9944283047731324,0.9944838234262053,-5.551865307296122e-05,0.9980127801001223,0.9976221626718831,0.00039061742823920387
iat_std,0.994441203239131,0.9945065459382512,-6.534269912017443e-05,0.9944676956471631,0.9945330410689694,-6.534542180636205e-05,0.9903189437492429,0.9903841674198448,-6.522367060191048e-05,0.9985719117591793,0.9986376789807959,-6.576722161666382e-05,0.9944283047731324,0.9944937990915003,-6.549431836788688e-05,0.9980127801001223,0.9974801605263227,0.0005326195737995754
iat_mean,0.994441203239131,0.9945438846234627,-0.00010268138433167096,0.9944676956471631,0.9945703813100017,-0.0001026856628386641,0.9903189437492429,0.9904214380887602,-0.00010249433951725617,0.9985719117591793,0.9986752602502913,-0.00010334849111204303,0.9944283047731324,0.9945312244162818,-0.00010291964314945723,0.9980127801001223,0.9973067435970591,0.0007060365030632232
iat_max,0.994441203239131,0.9945485519591142,-0.00010734871998319129,0.9944676956471631,0.9945748981973415,-0.00010720255017837577,0.9903189437492429,0.990448946122738,-0.00013000237349514165,0.9985719117591793,0.9986564696155437,-8.455785636440893e-05,0.9944283047731324,0.9945357747691271,-0.00010746999599475782,0.9980127801001223,0.997264092364427,0.0007486877356952526
